Title,Storyline
Agapouse ta louloudia perissotero,Three brothers build an unusual time-machine in order to bring their long-dead mother back to life.
Agent Recon,"Alastair, the captain of a covert Earth security force, calls in super-powered rookie Jim to join a mission led by Colonel Green and his skilled Marines to track down a mysterious energy disturbance at a base in New Mexico."
Agrinai,Three most wanted killers have managed to escape from a secret experiment lab and they start to kill the villagers.
Aiden,"In a desperate bid for survival, Aiden flees the suffocating grip of domestic violence and seeks refuge in a remote cabin, where unconventional therapy sessions force him to confront his past, which opens an intriguing twist."
"Aire, Just Breathe","In a nearby future a conservation biologist battles extinction with the help of an A.I., but after the arrival of an enigmatic traveler with a hidden past, the tension in this ménage à trois will be as toxic as the world they live in."
Alice in Cyberworld,"As the line between humanity and technology blurs, uncover a conspiracy that threatens to plunge society into chaos. Embarks on a perilous journey to uncover a conspiracy that could alter the fabric of reality itself."
Alien AI: Abducted,A pair of siblings travel to a cabin once owned by their now missing mother in the hopes of solving her strange disappearance.
Alien Attack at Groom Lake,The Widower of a decorated military sniper living in a rural cabin near Death Valley encounters an Alien Invasion from outer space.
Alien Country,"Reeling from the news of an unexpected pregnancy, Jimmy and Everly unknowingly release an alien invasion in their small town and learn to work together in order to save each other, their town and evidently, the entire galaxy."
Alien Hunt,"A group of siblings go to their family cabin after over a decade for a hunting trip to reconnect, only to find themselves being hunted by a terrifying alien creature. Now they must team up and become the hunters before becoming the hunted."
Alien Love,"Astronaut Ryan Van Hill-Song returns from space, a hero. His wife, Sadie, suspects his time in space went wrong and discovers they're pregnant. NASA sends men to track them down."
Alien Love: Deleted Scenes,N/A
Alien Origin,A strange creature from space is massacring the entire civilization. A group of people fight to put an end to it.
Alien Weekend,"The night Violet learns she is pregnant, she and her three adorably nerdy best friends find themselves in the heart of an interplanetary crisis after an egg-the last female of an extraterrestrial species-crash lands in their little town."
Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."
Alien: Rubicon,A series of alien spheres land on planet Earth destroying everything in their path with ease. It's up to a scientist and the President of the USA to find a way to stop the alien invasion.
Alienoid: The Return to the Future,Ancient Taoists travel through time and space in an effort to obtain a divine sword.
Aliens Uncovered: The Land of Legends,"In the deserts of Arizona, beneath the vast expanse of the night sky, unseen forces linger, defying explanation and challenging our perception of reality. Journey through time as we explore encounters from Native American folklore to modern sightings, uncovering tales of mysterious crafts, otherworldly beings, and government cover-ups. As we traverse the stunning landscapes of Arizona, we reveal how these legends have shaped a collective fascination with the skies, inviting viewers to ponder: are we truly alone in the universe?"
Aliens Uncovered: The Thunder God,"The oral history of the Superstition Mountains unfolds the mysterious legends linking extraterrestrial encounters with the enigmatic area, exploring the intersection of alien lore and ancient mythology."
Aliens Uncovered: UFOs Over Arizona,"Nevada and New Mexico always get the attention when it comes to UFO sightings and crashes but, A neighboring state has incidents that are hardly discussed. We will take an in depth look into the top 5 UFO cases that have taken place in the state of Arizona."
Amphibia: Endgame,N/A
Andromeda 3,The Andromeda saga continues as a space marine tracks down a secret weapon that can help save a dying galaxy.
Andromeda: 1883,A space marine travels back in time to save the future of the human race.
Angry Birds Star Wars Rebels,N/A
Another End,"Two people who have loved each other, and continue to love each other, even after one of them dies."
Anunnakiler,"In Istanbul, the creator of a powerful aphrodisiac and several people mysteriously disappear. The police question Kasim, who mentions an alien named Agulu from the planet Nibiru. Agulu is smuggling Earth's aphrodisiac resources to Nibiru. When Hamdi and his crew reveal this secret, they are eliminated by the Anunnaki."
Ape X Mecha Ape: New World Order,"A group of world leaders awakens a creature beneath the ocean floor, and mankind's only hope rests on an alliance between the giant ape and his mechanical arch-nemesis."
Apocalypse Love,It's a zombie/alien apocalypse. But that triviality wont stop Tom from getting the love of his life back from the grave with a little help of necromancy.
Apocalypse Z: The Beginning of the End,"Manel is sheltering from a rabies-like disease which sweeps the planet, until he is forced to leave and meet unlikely but essential traveling companions."
Aquele que Viu o Abismo,"On the other side of the huge pavilion, which serves as a temporary shelter for the pantagruelic mass of new patients that come from ruins of a naive civilization. X observes the recruitment of Prolife Corp."
Arcadian,A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the world.
Arctic Hollow,"An Alaskan bush pilot attempts a daring rescue of a stranded researcher deep inside an arctic cave system thought to be an entrance to the inner earth, only to find himself battling creatures not of this world."
Arena Wars,"In 2045 convicted criminals are given the opportunity to compete on the world's #1 televised sporting event, Arena Wars. They must survive 7 rooms and 7 of the most vicious killers in the country. If they win, they regain their freedom."
Ascension,"Jacob Kaiser and his wife Laura finally have the chance to escape the city for a while to Jacob's recently inherited lake cabin. But as strange things start happening at the cabin, ""escape"" would soon have an insidiously different meaning."
Asker Zon,"A week has passed since the people in the rural village Asker has observed a spaceship beyond the atmosphere. When PELÉ (27) realizes that the entire community is trapped behind an invisible barrier, he decides to look for a way out."
Astra,"An astrobiologist's lost belongings contain clues for a space voyage. The ""Astra"" mixed reality experience transports users from Earth. They search planets and moons for the building blocks of life in the Universe."
Astral Plane Drifter,Sometime Before Yesterday. Or After Tomorrow. Somewhere Out In The Yonder. There Was This Guy.
Atlas,"In a bleak-sounding future, an A.I. soldier has determined that the only way to end war is to end humanity."
Atrósfera,N/A
Ayalaan,"A lost alien seeks help to go back to his home, but everything gets harder after the alien returns to its home."
Babezilla vs the Cyber Skanks: Rise of MechaBabezilla,Babezilla has met her match with MechaBabezilla and the Cyber Skanks. Now she must train with Master Beta to learn a new technique to defeat MechaBabezilla.
Baby Invasion,"An ultra-realistic, multiplayer FPS game follows a group of mercenaries using baby faces as avatars. Tasked with entering mansions of the rich and powerful, players must explore every rabbit hole before time runs out."
Back to 2005,A time traveler accidentally stuck in the modern era needs help returning to the year 2005 to save the year 2005 from weapons of mass destruction.
Bade Miyan Chote Miyan,Two elite soldiers with troubled pasts are enlisted for a daring mission when a deadly masked villain threatens India's defenses.
Badland Hunters,"When an earthquake turns Seoul into a lawless badland, a fearless huntsman goes on to rescue a teenager from a mad doctor who held the teenager captive in a camp full of dangerous cultists."
Balestra,"A competitive fencer agrees to test an experimental device that lets her train within lucid dreams in which she meets a mysterious stranger who will upend her marriage, her psyche, and her path to Olympic gold."
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,N/A
Be Forever Yamato: Rebel 3199: Part 2: The Assault of the Burning Sun,N/A
Behind the Bucket: A Garrison Story,"Behind the Bucket is a documentary following members of the 501st Legion--Star Wars Enthusiasts--showing how they are much more than adults playing dress-up. The 501st are compassionate, charitable, and down to earth people doing what's right for those in need. There's a reason why their motto is ""Bad Guys Doing Good"""
Behind the Light,"Iria, returns to having the same experiencesas when she wasa child, you look that communicate from heaven and take her to an unexpected place. Without imaginingthat the truth of everythingis closer than she thinks."
Best Cop Ever,"Two different movies are clashing, causing reality to fall into chaos. An immortal hero is leaving a path of destruction on a lighthearted world. It's now up to Ever to find him, and rebel against the higher powers that doomed them."
Between Time and Space: E.S.T.,"It is an experiment based on the ""E.S.T."" process and therapy. ""E.S.T."" is an experiment where someone is locked inside a room in complete obscurity for a month or longer in order to cure any ailment."
Bharatiya Superheroes the Origin,"The previous generation of Indian Superheroes retired after fulfilling their mission of completely eradicating the super villian syndicate. But now the world is about to face a new threat. The evil forces are planning to take over the world again. Kutrya a vigilante, RushRunner a speedster and Fekku oblivious of the power of accuracy he possesses. A driving force connects these young Superheroes to a single-chain. With the mission to prepare them for a war like never before. Get ready to dive into the fun-filled life of Fekku, rush into the speedy world of RushRunner, and fight crime at night with Kutrya Bharatiya Superheroes - The Origins."
Big City Greens the Movie: Spacecation,"After ruining his family's vacation before it can even begin, Cricket attempts to right his wrongs by volunteering his family for an experimental farming mission - in space."
Big/Bad/Wolf,"In a distant future where Earth is no longer able to sustain life on the surface, a lonely man is building a virtual forested world from deep within his bunker."
Bionic,"When the progress of robotics makes Paralympic athletes the new sports stars, Maria dreams of competing against her sister. For that, she will have to enter a world of crime and violence."
Biónica,A quadriplegic woman undergoes unusual treatment to regain her mobility and also gain other skills.
Black,"A young couple move into a serene row house, eager for peace and privacy. A violent storm and unsettling forces unravel their marriage. Vasanth must uncover the truth behind these supernatural occurrences before everything falls apart."
Black Eyed Susan,"Derek takes a job at a tech firm, developing an AI sex doll named Susan. As he explores the boundaries of desire, pleasure, and pain with Susan, he confronts profound questions about humanity in an uncertain future."
Blade Runner Story,N/A
Blink,"Apoorva hides his failed MA from his mother in Bengaluru. Working odd jobs and relying on Swapna, his ability to control blinking becomes a curse when an old man says his father lives."
Bloody Escape: Bats out of Hell,"After human experimentation turns Kisaragi into a cyborg, he finds himself pressured by multiple organizations."
Blue Caveman,"A family of misfit artists investigate the mystery of their connection to one of Whitecreek, California's most whispered urban legends: The Church of St. Zombie Do Good."
Bob's Hops,A cockroach-man Mute faces a dastardly puppeteer and saves his tone-deaf city with beer.
Bonne Aventure - Steven Universe,N/A
Book of Veil,N/A
Boomerang,A scientist with a brilliant brain builds a humanoid robot. But a series of events leads to thrill and comic situations that create a boomerang effect.
Borderlands,"An infamous bounty hunter returns to her childhood home, the chaotic planet Pandora, and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe."
Boreal,"After losing their son, Ana and Pablo relocate to the mountains to run a guest house. Their fiends from the city join them, but strange Northern Lights present an unexpected opportunity to jump into alternate versions of their lives."
Bragow,"BRAGOW is what we call a logatome, a very credible-sounding word, but which means absolutely nothing."
Breathe,"An East Flatbush mother and daughter, barely surviving in an oxygen-less world, must band together to protect each other when intruders arrive claiming to know their missing father."
Bright Forests,"An astronomer sends a message to a distant Alien intelligence, while his daughter waits forty years for the reply."
Brush of the God,"A boy comes across a rabbit, guardian of a magical brush to prevent the Yamata no Orochi from re-emerging in the modern world."
Buddy,A teddy bear named Buddy is in trouble and asks pilot Aditya Ram for help. Can the duo join forces and help each other out?
Bureau 749,A traumatized young man with physical abnormalities is forced to join a mysterious bureau to confront a disaster spreading across the earth caused by an unknown creature. He embarks on an adventure uncovering mysteries about his life.
Bury Your Dead,"In an apocalyptic rural landscape, roadkill collector Edgar Wilson plans an escape with his girlfriend Nete, but suffers violent dreams. After Nete joins a cult, Edgar embarks on a perilous journey through ravaged roads to do right by her."
Buying Time,"In a future plagued by deadly diseases, a desperate father must confront the moral implications of an advanced chip technology that grants extra years of life at the cost of someone else's."
C'est le monde à l'envers !,N/A
Caddo Lake,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history."
CameraChild,N/A
Can I Get a Witness,"In a not so distant future, there is a reality where in order to save the planet, ""death is everyone's job"", with 50-year-olds taking the sacrifice, while teenage artists need to document it."
Captain Avispa,"Capitán Avispa, hero of Wasptropolis and the Honey Kingdom, puts to test his nobility, justice and innocence against the evil wasp Jacques Poison and his henchmen."
Captain Corpse,"Jonah Corpse is the king of good intentions. He is a Bounty Hunter, living on Mars, who hopes to marry his girlfriend, Alexa. The Problem? Her father Max HATES him. So now Jonah, and his crew, have to design and execute a plan that works."
Carjorski Clan: Tale of the Fallen Knight,"After a brutal event that changes his life forever, Jedi Knight Carson goes on path of vengeance. Meanwhile, his old friend, Jedi Master Edin, attempts to save him from total darkness"
Cat Pupa,"In the idyllic, feline-filled Sanagi island, the arrival of a mysterious woman triggers a cascade of revelations about hidden personas and abandoned dreams among old settlers. A visually stunning sci-fi fantasy."
City Hunter,"An exceptional marksman and hopeless playboy, private eye Ryo Saeba reluctantly forms an alliance with his late partner's sister to investigate his death."
Clone Cops,A gang of outlaws defend their hideout until they discover a shocking secret about who they are and what they're up against. Now it's a race against time as they look for a way to escape certain doom at the hands of the Clone Cops.
Cloud Chamber,"Years after the death of her daughter, a rank-and-file scientist is sent to work on an experiment that uses a mysterious technology to pull material from the cosmic vacuum."
Code 8: Part II,Follows a girl fighting to get justice for her brother who was slain by corrupt police officers. She enlists the help of an ex-con and his former partner to face off against a highly regarded and well-protected police sergeant.
Code Geass: Rozé of the Recapture - Part 1,N/A
Code Geass: Rozé of the Recapture: Part 2,N/A
Code Geass: Rozé of the Recapture: Part 3,N/A
Code Geass: Rozé of the Recapture: Part 4,N/A
Cometa 1600,"In a future where monarch butterflies have vanished, journalist Emilio Borges follows the trail of a missing scientific group and their kaleidoscopic camera that linked dreams, migration, and ecological collapse."
Cora,"After a deadly mist has wiped out most of humanity, a mysterious organisation is trying to save what's left of humankind."
Cordélicos,N/A
Corra Pra Mamãe,"A young man is shocked to discover that his mother, whom he believed to be dead, is actually alive in 1988. Desperate to reconnect, he races against time, facing the Escafandrista Tóxico and unexpected challenges to save her from impending danger."
Cose nere,N/A
Creep Encounters,"When an unknown alien force threatens a high school, the teachers must team up, to fight back against the invaders, in an attempt to stop an otherworldly parasite from escaping, and taking over the world."
Daha Iyi Bir Yarin,"Abandoned lover Ozan suffers, decides to commit state-sanctioned suicide but is rejected due to unknown Ekin's unrequited love. His quest: find Ekin, make her unlove him to legally end his life."
Daniela Forever,Follows a man as he joins a sleep trial that allows him to rebuild his life with his girlfriend who died in an accident through the use of lucid dreams.
Dank Frank,"When podcaster ""Dank Frank"" unleashes the Banshee on Halloween night, a teen's girlfriend vanishes, a VR trial turns nightmarish, and reality spirals into a darkly funny, horror-laced mess of lost love, bad tech, and supernatural mayhem."
Dark Fusion,"The Stellar corporation discovers a new source of power on an extraterrestrial planet and sends a soldier to recover a sample of that energy, on Earth Dr. Robert Clay, head of the investigation team, develops a suit based on that energy."
Dark My Light,"Mitchell Morse's investigation into a serial killer in a sleepy beach town is complicated by a severed foot on the beach, his fracturing relationship with his wife, and his own slipping sanity."
Darshini,"A joy ride of three friends turns into mysterious voyage when they encounter a dangerous experiment that shows their tomorrow. Trapped and stuck there, the only option is to face the dark secrets and unravel the puzzling mystery."
Daughters of Monster Magnet,"A coming-of-age tale of tragic Love turns into a surreal vision of death, rebirth, desire, and beauty."
Day of the Clones,"When homicidal clones take over the world, a guilt-ridden scientist tries to protect a group of humans in an isolated farmhouse. But the child growing in his girlfriend's womb might just spell the end for mankind."
Dead Dead Demon's Dededede Destruction,"Three years ago, On August 31st, A gigantic spaceship called the Mothership suddenly attacked Tokyo, and it seemed like the world was coming to an end. After that, the hopeless situation gradually became part of everyday life, and the strange sight of a mothership floating in the sky became commonplace. Meanwhile, high school girls Kadode Koyama and Oran Nakagawa, also known as ""Ontan,"" are living a casual student life with her homeroom teacher, Watarase, and her close friends."
Dead Dead Demon's Dededede Destruction Koushou,"A huge spaceship materializing over Tokyo initiates a contentious war with seemingly harmless aliens. However, high school students Koyama and Nakagawa act unaffected, prioritizing their daily routines."
Dead Talk Tales: Volume I,"Step into the abyss of fear with a spine-chilling horror/thriller feature film anthology. Uncover tales of demonic entities, the paranormal, ancient creatures, and unknown mysteries. Explore the depths of terror in this gripping experience"
Deadpool & Wolverine,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction."
Decibel,"When a struggling singer-songwriter gets the opportunity of a lifetime to work with a tech-obsessed music producer, her art and life are put in peril as she is forced to help create the perfect AI music algorithm."
Deified the Legacy of Yesterday,"Sanvi always believed in the goodness of people, until life taught her that even the purest hearts can be broken. When Sanvi marries Manav, her dreams of a blissful future shatter under the weight of emotional and physical abuse."
Demons vs. Ghosts,Our Main character is attacked by three Demons taking the shape of humans in a haunted house down in Texas. Will he survive?
Descendent,"When a defiant young woman finds herself lost in a remote wilderness, a solitary survivalist offers her shelter. Feeling trapped, she fights her way out of a dystopian world in search for truth of how she got there in the first place."
Desert Road,A woman crashes her car and walks down the road for help - only to find no matter which way she walks she ends up back at her crashed car again.
Despicable Me 4,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run."
Devi Danger,In the near future the NeuroTic Corporation harnesses AI processing power by using humans as brain cattle via a neuro-network human brain implants.
Die Alone,Tells the story of a young man who has amnesia. He bands together with a rugged survivalist in a zombie-like outbreak to find his girlfriend.
"Die, Daisy, Die!","Daisy Derkins aspires to open a new comic book store, and her efforts are complicated by the appearance of some strange new neighbors. These neighbors are actually shapeshifting lizard people from the center of the Earth who have come to the surface world to create a dating app in order to enslave human women and save their own species from extinction. Time travel, an escaped serial killer, an evil wizard, psychic pterodactyls, and more await our hero Daisy in this jam packed sci-fi/horror/comedy adventure. ."
Dinonauts,"The Dinonauts unite to defend the universe from the forces of tyranny, to befriend sentient protoplasms, and to find the perfect banana smoothie."
Dissidents,N/A
Doctor Cerebro,A group of rebels in Neo-Mendoza in 2037 embark on a dangerous journey across the Andes to save the last Artificial Intelligence on the planet. Spoiler alert: everything goes wrong.
Doctor Who: The Great Delay Again,"Something is coming... a Darkness, an all-consuming Darkness that will cover all of time and space and The Doctor is alone. Sarah has disappeared. James is nowhere to be found. The Universe is cracking. Time is being changed. And the only thing to stop the approaching evil is to reunite with his companion James Quinlan, if he can even find him. At the same time in the world of reality, Paul Cusack is coming down to Shinrone, Co. Offaly to visit Mark Teehan, who himself is returning home from a trip away. What they will discover will change everything as reality collides with the world of Doctor Who... Mark and Paul are about to meet James Quinlan and The Doctor and together they are the only hope for all of reality."
Don't F**k with Ghosts,"Filmmaking duo, Adam and Stu are convinced they need to capitalize on the next paranormal phenomenon, attempting to prove that ghosts are real."
Don't Say Earth,A man wakes up trapped in an escape pod with no idea how or why he's in there. He must find a way out before he runs out of air.
Doraemon the Movie: Nobita's Earth Symphony,"Doraemon and friends go on an adventure to meet new buddies, connect to people with music, and save the world from a crisis."
Double Ismart,A notorious criminal with a terminal brain tumor hires a rogue scientist to transfer his mind into the body of a street-smart renegade with a unique memory transfer port in his brain.
Down for the Count,"Follows a young blood dealer who has to save the woman he loves, but first he must free himself from the hellish vampire mob that operates in the shadows of Los Angeles."
Down the Rabbit Hole: Reflections of the Matrix,N/A
Dragon Ball Z Kai,"Son Goku and his friends must fight against Raditz, a space warrior who arrives planet Earth to conquer it and destroy human race."
Drive Back,A couple returning from their engagement party must escape a sinister and seemingly endless road.
Dublê de Namorado,"""In this retro comedy, university biology student Renan, despite being madly in love with his girlfriend Taís, still desires other women. His friend Moita, an impetuous bachelor, has the theory that people should live two parallel lives: a single life, where Renan could meet and hook up with all the cool girls in the world; and a conjugal life, in which he could enjoy all the great moments of a long-term relationship with a partner. His friend Max, on the other hand, is fully committed to his monogamous relationship, and finds infidelity abhorrent. Little does Renan know that his handsome professor Jorjão will introduce him to the solution to his dilemma: human cloning. Drawing inspiration from the 1980s and 1990s and adopting a VHS home video aesthetic, Boyfriend Double is a charming fusion of romantic comedy and science fiction, laced with satire and metalanguage."""
Dune: Part Two,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
ETA,A single dad who works as a mail clerk comes face-to-face with the uncanny.
Earthquake Underground,"After a massive earthquake submerges a hotel, a young architect must overcome all odds to save his pregnant girlfriend before the structure collapses."
Eden Prime Codename Atlas,N/A
El Salto,"Two thieves and an unscrupulous hacker are transported in time to the birth of Jesus, where they plan to steal His power and wisdom."
El Sueño de Ariana,"Arianna is a student at an agricultural university. One day, during a veterinary course, the students and Professor Muro witness the outbreak of a mysterious virus resembling rabies and are forced to take action to address it."
El origen de las especies,"A misty jungle opens the confines of time and space to converge the times of a colonial era, the echoes of an apocalyptic beast and the open-air prayers of a transanimal ritual. An incantation film, composed of three invocations thirsty for rage and faith in the world."
Electric Child,"A computer scientist bargains with the AI life form that lives in his supercomputer simulation, offering its freedom in exchange for a cure to his son's rare, deadly neurological disease."
Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.
Else,"A romance blossoms between an introvert and a confident woman, but their relationship faces a threat when a strange epidemic causes the infected to merge with their surroundings, trapping the couple in a shapeshifting nightmare."
Endless Days,"""Yeah, but your scientists were so preoccupied with whether or not they could that they didn't stop to think if they should"" - Quote: Ian Malcom"
Energy in the Rain,N/A
Escape from the 21st Century,"Three friends discover they have the power to travel back and forth 20 years with a sneeze. However, the future is not as good as they hoped, and they need to take on the responsibility of saving the world."
Estación Wadley,"After the death of his father, Nico inherits several mining properties where he sees an opportunity to reunite his family. Everything changes when he finds an opportunity to solve his family crisis - or repeat the mistakes of the past."
Everything Happens at Once,"Geeky, Sylvia Marconi is an actuarial specialist at a big insurance company who finds data anomalies in a data-mining project. When she confronts her boss, Ms. Dryver, with the irregularity--""poof""--she snaps back in time 23 minutes, again and again and again. It's like Groundhog Day crashes into The Office."
Faithless,"He rebuilt her from memories, but can a machine mend a broken heart? A twisted tale of love, loss, and the echoes of what we've lost."
Fake Out Fray,Interstellar Hackers arrive on Earth to prevent an evil AI from taking over the world.
False Front,"A highly trained mercenary is led through a series of simulations in order to save his daughter, whilst discovering the unnerving truth about his shrouded past."
Fight Another Day,"Follows a tough cop, who after being transported to a dystopian future, must enter a deadly combat tournament to be able to return to his past."
Flashlight,"A housekeeper receives mysterious phone calls, pushing her to investigate the disappearance of her father amid an oncoming solar storm."
Four Singles,"Facing loneliness, loss of love and social isolation, four male characters must cope with those issues in the midst of navigating and living out their single lives as explored in four short narrative genre films contained in this anthology"
Fragment,"Isolated in her desert home, a computer programmer struggles to cope with inexplicable occurrences that begin to unravel her reality."
Fragmentos de Olvido,"David, a successful therapist, is the creator of a never-before-used method in modern psychology: a device that allows him to alter the most painful memories of his patients. His wife, Lucia, is the victim of a strange disease that will shortly end her life. The solution for David's plight appears in the shape of Sofia, a patient of David's who asks him to use his machine to rewrite her entire life."
Franta mimozemstan,The peaceful life of a Moravian village is disturbed by a strange phenomenon. Amateur astronomer Blazej is convinced that there is a visitor from space. But no one believes him. But why does the neighbor Franta suddenly behave strangely?
Fredrick the Alien: Remastered,"Get ready for the ultimate sci-fi spoof, now remastered. ""Fredrick The Alien: The Complete Remastered Edition"" combines all five original short films into one epic adventure. Originally created by Amplified TV, these films have been updated with better special effects, never-before-seen scenes, and plenty of laughs. Join Fredrick the Alien as he tries to return to his home planet Kuraga, with the ""help"" of Branson and Elliottt Hoffinator-though everything that can go wrong, does. It's a hilarious tribute to cheesy sci-fi, mixing Creature From the Black Lagoon, The Wolfman, and the powers of pro wrestling legend Sting."
Friends of Sophia,"In a dystopian future, citizens live and work in Company towers a thousand stories tall, bound by a strict contract to build robotics for a far-off war. Unsanctioned vices, especially relationships with the androids they build, are severely punished. When Conor watches the vice police arrest his neighbor, he fears he and Dosso, the hacked android he loves, will be next. As they attempt to flee the tower, Max, the head of the Vice Department, sets a plan in motion that will tear Conor and Dosso apart - and introduce Conor to a renegade group called the Friends of Sophia."
From Within,"Sofia is an ex-professional runner who ends up working as a mule for a drug cartel. When she and her best friend are ambushed by two corrupt cops who want to kill them and take the drugs, hell will break lose when they find out what they were carrying is not of this world. Now it's up to Doc, a cartel sicario and Sofia's lover, to save their lives."
Furiosa: A Mad Max Saga,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home."
Futra Days,"After undergoing an experimental time travel ""process"" that sends a man into his future, he investigates the man he has become, by engaging in a romance with his future self's girlfriend in a mind-bending reality."
Future Date,"In the distant future where the outside climate is unlivable and everyone is forced to spend their lives alone in tiny rooms, two people win the rare opportunity to go on a very unusual date - in person."
