Title,Storyline
An American Bombing: The Road to April 19th,"The events surrounding the 1995 Oklahoma City bombing, tracing its roots in anti-government sentiment and examining its lasting impact."
And the Balls Roll On...: The Real Story of the Beautiful Game of Skee-Ball,A 1908 patent by NJ inventor J.F. Simpson birthed Skee-Ball amid industrial-era amusement parks. Follow the game's journey from working-class entertainment to beloved pastime. The balls keep rolling.
Andrew Trimble: For Ulster & Ireland,"Former rugby star Andrew Trimble explores his Ulster-Scots roots and questions if differing cultures can live together harmoniously in Ireland, as they have in his life."
Anzac.Lemnos.1915.,"In the lead-up to Anzac Day, the small Greek Island of Lemnos was used as a base to train soldiers, before being converted into a military base and hospital to support the campaign in Gallipoli for Australians, New Zealanders, and Indians."
Apocalypse in the Tropics,An exploration of the profound impact of evangelism on Brazil's political landscape.
Apollo 13: Survival,"In April 1970, NASA faced the greatest crisis in its history; three astronauts halfway to the moon on a spacecraft that had suffered a catastrophic explosion."
Aquarius,"In May 1973, 10,000 artists, activists, hippies, radical students, gurus and visionaries descended on a small dairy town for 10 days of social and cultural exploration that changed a generation."
Area 2,"City leaders tacitly permitted police torture of Black detainees by Jon Burge's ""Midnight Crew"" in Chicago's Area 2 from 1972-1991. Chronicles three survivors' journeys seeking justice."
"Arlempdes, la légende du premier château de la Loire","In the year 1538, the castle of Arlempdes, then owned by the Poitiers family (loyal to the King of France), was attacked by a new threat, at the dawn of the religious wars, the Huguenots. The latter, Protestants, wanted to overthrow the royal power in France and, supported by Italian mercenaries (the kingdom of France being in the middle of the Italian wars) seized the castle, then the first bastion of the Loire, and strategic property of the King of France. Then followed for three years a military campaign undertaken by Françoise de Brézé, daughter of Diane de Poitiers, to retake her mother's stronghold. The military campaign is a success but Françoise, with the help of her faithful knights, must face the threat of the terrible Huguenot leader, who constantly wants to seize the castle and pillage the Velay region. . The Duchess had not foreseen certain weaknesses of the castle, although deemed impregnable at first sight... She will have to face the loyalty of some, and the betrayal of others... while her most loyal men will have to face their conscience and the blackmail of the terrible Huguenot leader, calculating and manipulative... This film is our first feature film, imagined and developed since the beginning of 2022 and shot in October and November 2023 in Auvergne. It will last approximately 2 hours. This historical fiction feature film is currently in post-production and should be released in cinemas sometime in 2024. It is a film highlighting the small story in the big one, with the aim of introducing French regional heritage to the public."
Ataturk II: 1881-1919,"After proving himself at Gallipoli in 1915, Mustafa Kemal began his journey, facing major battles against Russians on the eastern front and British in Syria, becoming the only undefeated Ottoman officer in WW1."
Atomic People,"A record, drawn of the testimonies of Hibakusha - survivors of the atomic bombs dropped on Japan - of humanity's potential to destroy itself."
Avalanche! The 1910 Great Northern Railway Disaster,"In the late winter of 1910, a relentless blizzard trapped two Great Northern Railway trains, bound from Spokane to Seattle, in the rugged Cascade Mountains. Six days of frantic efforts to reach the passengers and crews failed. Early in the morning on March 1st, an avalanche one-half mile wide and fifteen feet deep crashed down from the mountainside during a thunderstorm. It swept the trains off the tracks, killing at least ninety-six people."
Azerbaijan Atabeyler,N/A
Bach - Ein Weihnachtswunder,1734: Bach defies the Leipzig city council by rehearsing the Xmas Oratorio with his choir to prove he can enthrall the congregation. But the performance is canceled. Bach's wife Anna uses her connections to help change the council's edict.
Bad Case of the Country Blues: The Linda Martell Story,"Linda Martell is the first Black woman to perform at the Grand Old Opry, in Nashville, TN in 1969, at the height of the Civil Rights movement. To date, she is the most commercially successful Black female artist in country music history, with her country-western remake of the Winston's ""Color Him Father"" reaching as high as number 22 on country music Billboard charts. But unlike her male counterpart, Charlie Pride, and countless white female counterparts, Linda's success and legacy is often overlooked and rarely ever mentioned. Until now. Bad Case of The County Blues: The Linda Martell Story, is a story of what it means to have the courage to pursue your dreams. It's a story of how that courage may not exactly result in the future you might have hoped for, but is, without a doubt, all you need to find the purpose that you and only you were meant to walk in."
Bahodir Yalangto'sh,N/A
Bardejov,"The story of small town Jewish leader Rafuel Lowy, who found an ingenious way to save Bardejov's Jewish population from being sent to Auschwitz during World War Two."
Battlefield,"In WWI, Dr. Stefano Zorzi works at a clinic, treating soldiers' wounds and cases of self-injury to avoid combat.Dr. Giulio, who helps soldiers, becomes a silent competition that also involves nurse Anna. The Spanish flu strikes the city."
"Bearing Witness, Native American Voices in Hollywood","For over 100 years, Hollywood cinema has crafted the ultimate ""villain""-the Indian, as they were labeled in early Westerns. Confined almost exclusively to this genre, the Western became a vehicle for American racism, obscuring the genocide upon which the United States was built. For more than four decades, these films glorified ""Manifest Destiny"" and the conquest of so-called ""wild"" lands, with little regard for those who stood in the way. It wasn't until the Vietnam War, the civil rights movement, and the protest movements of the 1960s and 1970s that a shift occurred. A new wave of films, such as Little Big Man and Soldier Blue, emerged, offering more authentic portrayals of Native Americans and acknowledging the horrific massacres they endured. In this documentary, only Native Americans are given a voice to share their story, one that has been overshadowed by Hollywood's portrayal. Their narrative, part of the larger American story, highlights how cinema has long been used as a powerful propaganda tool, distorting history and perpetuating harmful stereotypes."
Becoming Madonna,"Madonna's rise to fame from 1978 to 1992, exploring her personal life, controversies, and the challenges she faced during that period."
Before Dawn,The journey of fictional WA outback kid Jim Collins and his battalion on the Western Front.
Being Maria,"Maria Schneider's rise to fame after ""Last Tango in Paris"" and its controversial production's impact on her life and career."
Bibi Rajni,"A true event-based thought, who always had faith in Waheguru (God). The Masterpiece, which is designed for people of all ages, is a complete family watch for those wanting to learn and know about Sikhism heritage. Plot by: Tejpal Pataria"
Bir Cumhuriyet Sarkisi,"In 1930s Turkey, a handful of young, talented and determined people strive to realize an artistic revolution in a fledgling country."
Blitz,The stories of a group of Londoners during the German bombing campaign of the British capital during World War II.
Blood'less' Revolution,"In 1974, a group of men lost their lives in what is still called today the Bloodless Revolution of Portugal."
Bloodspawn,A frontier-era gang of misfits band together to battle an ancient and evil bloodthirsty hellbeast of Native folklore in this retro homage to classic 80's creature features.
Blur: To the End,"Blur's recent reunion, captured across a year in which they made a surprise return with their first record in 8 years."
Boat,"10 people escape bombing on small boat, which unexpectedly stops and sinks mid-journey. Passengers struggle to survive as boat goes down."
Bonhoeffer: Pastor. Spy. Assassin.,"As the world teeters on the brink of annihilation, Dietrich Bonhoeffer joins a deadly plot to assassinate Hitler, risking his faith and fate to save millions of Jews from genocide."
Born Burn Breathe,"Born Burn Breathe explores the hidden costs of economic growth by challenging the dominance of GDP as a measure of societal progress. This pilot scratches on prioritizing well-being, sustainability, and equity for future generations."
Bröderna Andersson,"Sibling relationships are the longest-lasting in life but often not the most cherished. The Andersson brothers grew up in a working-class home in Gothenburg. Roy became an internationally acclaimed filmmaker while Ronny ended up as a homeless man. Kjell became a documentary filmmaker, and Leif lives as a disability pensioner. Johanna Bernhardson makes her feature film debut with a story about how life can turn out so differently despite seemingly similar circumstances. Through the portrayal of her father Leif and her uncles - with alcohol as a common thread - she also tells a tale of inheritance that stretches generations backward (and forward) in time. At the same time, she tries to get the brothers to stop sulking and reunite - before it's too late."
Burgemeestersmoord,"Burgemeestersmoord tells the true story of the murder on Mayor Piet Smulders (Someren) and Mayor Willem Wijnen (Asten). Both were part of the resistance and did everything they could to make life as difficult as possible for the occupying forces. In a German occupied North Brabant, Jan searches for his place in the war. One thing is certain for him, this cannot go on like this. After Jan gets a job at the town hall, he gets mixed up between the mayors of Someren and Asten and the German officer Von Obernberger. From the moment Jan is embraced by the resistance, his actions are increasingly noticed by the Germans. These actions will have major consequences for Someren and Asten."
Burkitt,"A documentary exploring the life of Irish surgeon Denis Burkitt, who discovered Burkitt's lymphoma, as told by a survivor of this cancer."
Bushido,"Kakunoshin Yanagida was a samurai, forced to leave the Han due to a false accusation. He then lived in poverty with his daughter Kinu."
C'era una volta il Derby Club,The story of the most important stand up comedian joint in all Italian Entertainment history told by the people who started their career there from 1959 to 1984.
Calico Rebellion,"In the lush woods of New York's Catskill Mountains, a mythical memory lives on. Of a time when men - armed with rifles and pitchforks, disguised in eerie leather masks and calico gowns - descended from the hills to stage the ""Second American Revolution"". Two hundred years ago immigrant farmers in the Catskills, fed up with oppression and exploitation by absentee landlords, staged a rebellion known as the Anti-Rent War. The uprising changed the course of history, paving the way to land rights across America and to the formation of a new political group - Abraham Lincoln's Republican Party. Today, although largely forgotten, the historic uprising lives on through direct descendants of those rebellious farmers. CALICO REBELLION explores a pivotal moment in American history, and a community's unique and enduring connection to the past through the songs, stories and costumes preserved from the 1840s. Part historical ""true crime"" story - part meditation on land and belonging in America - CALICO REBELLION is a meditation on small town American history, identity, idealism and the violence that percolates beneath the surface."
Carte Rouge - Vörös térkép,N/A
"Carville: Winning Is Everything, Stupid","Set against the backdrop of the 2024 election, CARVILLE follows Democratic consultant James Carville as he navigates the current political landscape and delves into his famous, bi-partisan marriage to Republican strategist, Mary Matalin."
Castles in Haiti,"An exploration of the multicultural history, music, art and heritage of people of Haitian ancestry. Uncovering the deeply rooted cultural and artistic ties that bind Haiti, the U.S., Latin America and other communities all over the world."
Chandu Champion,A man who faced one adversary after another with an undying spirit. His unwavering zeal and never give up attitude led to India's first individual gold medal in any form of the Olympics.
Chernyy zamok,"Young professor Anton Kosmich studies the history of Belarus. One day he is mystically transported to the Middle Ages, where he will have to unravel the secrets of the past millennia."
Chhatrapati Tararani,"Chhatrapati Tararani, the great Maratha warrior queen, leads her people against oppressive foreign regimes to uphold the pride and freedom of the Maratha empire."
Chhava,"Set in the storied Apshinge Military Village in Maharashtra, 'Chhava' offers an intimate glimpse into the lives of families bound by centuries of military service, from the reign of Chhatrapati Shivaji Maharaj to today."
Christian Growth Through Hymns,"From leaders of the Reformation, such as Martin Luther, to contemporary hymn writers, Christian hymns provide historical knowledge and encouragement to Christians worldwide."
Churchill's Forgotten War,"In the summer of 1940, Churchill had taken power and the decision to arrest UK citizens originating from Germany, Austria and Italy; many were perfectly innocent men and some were Jewish refugees."
Cinema Strada,"Having devoted much of his career to programming and film history research, Law Kar, a.k.a. Uncle Kar, places himself before the camera for the first time."
Cinta Dari Timor,"Without Bintang, the Langit will be dark. A love story thwarted by family and extraordinary tragedy."
"Cintas, Fotocopias y Sellos Trucados",N/A
Clergyman,"The hero of the film will be one of the participants of the Radom events, Priest Roman Brazier, murdered by unknown perpetrators in 1976."
Colonel Xanthi,N/A
Color of Victory,"The days when Istanbul was occupied as a result of the Armistice of Mudros after the First World War and the Fenerbahce football team won the ""Harington Cup"""
Colors of the Sun,"Rainbow Clouds is based on the true stories of six inter-connected fighters and how they dealt with the challenge of AIDS during the 1980's epidemic in Albuquerque, NM."
"Colón ADN, su verdadero origen","Columbus DNA: His True Origin (2024) is a Spanish documentary exploring Christopher Columbus's origins through 20 years of DNA research. It premiered on October 12, 2024, on La 1 with over 5 million viewers and is now on RTVE Play."
Comrade Yuri,"An unsettling journey through the 20th century with KGB propagandist, Yuri Bezmenov."
Conquer: Lahad Datu,"The Malaysian security forces in quelling the militant group of the Sulu Sultanate aka ""Operation Daulat"" in Lahad Datu, Sabah."
Cândido,"A national coach working in Lisbon during World War II also acted as a spy for the Allies, leading a risky double life"
Dad's Secret War: France 1944,N/A
"De Gaulle Vs Churchill : Mémoires De Guerre, Guerre Des Mémoires","Each wrote their war memories on their own, knowing that the other was doing the same at the same time. Discover the conditions under which De Gaulle and Churchill wrote their memoirs and the literary confrontation and views they shared."
Death Game,"Five martial artists compete in a deadly trial for a massive reward, facing challenges and foes. They uncover sinister forces manipulating the event and devise a plan to confront them, seeking justice amidst the chaos and darkness."
Descartes in Egmond,"Through the approaches of a novelist, a philosopher and two historians, all interviewed in the beautiful natural and historical surroundings of Egmond, the life and work of René Descartes is deconstructed during his stay in Egmond in The Netherlands. A new and lively perspective on the life and thought of the French philosopher."
Destiny or Will. Marusia,What dominates: destiny or will? Is the destiny more about happiness or sorrow? What is a good death? Memory. Care. Hope. A private story as a reflection of the Transcarpathian turbulent history in recent 100 years.
Detor: The Rise of a Warrior Hunter,"Spurred on by mystical stories from his father and an innate compulsion and an inexplicable drive to go to Ngotsie, Detor embarks on a journey to achieve his dream of becoming a warrior hunter."
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,"A Historical Movie Trilogy available in Hindi/Marathi on the life of Chhatrapati Sambhaji Maharaj. Part 1 highlights the attack on Burhanpur, Rajyabhishek and the Navy battle of Janjira."
Die Ermittlung: Oratorium in 11 Gesängen,"In 1963 former SS soldiers are tried for their involvement in running the Auschwitz camp. Witnesses and defendants take the stand, some describing the worst of which humanity is capable, others hiding behind procedures and orders."
Die Mutigen 56 - Deutschlands längster Streik,"The docudrama brings a unique labor dispute to life. Today, continued payment of wages in the event of illness is a matter of course. But workers in the 1950s, unlike employees, received no pay for the first three days of illness and then very little. The workers no longer want to put up with this unequal treatment. Through the lives of Emma and Alfred Freese, a fictional working-class family from Kiel, the challenges of that time are brought to life in all their harshness. Emma is a typical housewife and mother of that time. This time of hardship is seen through her eyes and the Freeses' struggle for a life of dignity is followed. The war and its deprivations have left their mark on this generation, but now things are looking up again. But when her husband Alfred collapses ill at the Howaldtswerft shipyard in Kiel, Emma despairs. He has to take it easy, but how is the family supposed to get by without wages? This cannot go on. In October 1956, up to 34,000 metal workers in the shipyards and factories of Schleswig-Holstein went on strike in the fight for justice and dignity. To this day, this strike is considered the longest in Germany. Employers and politicians stood in the way of the strikers with decisive force. On the employer side of the then booming shipbuilding industry was shipyard boss A. Westphal. Julius Bredenbeck, Herbert Sührig and Hein Wadle are well-known trade unionists to this day, having orchestrated the strike and led it to success."
Dogman Territory: Werewolves in the Land Between the Lakes,N/A
Douglas Stories,"The result of a two-year oral history project which collected the stories of people living and working in Douglas, gathering reflections on the story of the past and witnessing the changes in a small village that became a suburb of Cork."
Drachten Journaals,"Compilation footage of the annual newsreels of the village of Drachten from the 1970s and 1980s, by filmmaker Anton Stoelwinder."
Drama 1882,"Staging a colonial conflict, this libretto across 8 chapters questions colonialism, collaboration, resistance, narratives, and history through treason and exploitation over 44 hypnotic minutes."
Drava se ne predaje,The story of the Yugoslav warship Drava and its journey during World War II.
Drop Dead City,"In 1975, New York City is minutes away from bankruptcy when an unlikely alliance of rookies, rivals, fixers and flexers finds common ground, and a way out."
Ecce Homo Brâncoveanu,"In 1714, the wealthiest man in Europe, Wallachian Prince Constantin Brâncoveanu, confront with Sultan Ahmed III. His journey become an initiation one, that concludes in an unexpected manner, shaping the spiritual identity of a nation."
Eden,"Based on a factual account of a group of outsiders who settle on a remote island only to discover their greatest threat isn't the brutal climate or deadly wildlife, but each other."
Ei koskaan yksin,"1942 in Helsinki. The state of Finland has made an alliance with Nazi Germany. One man alone is trying to stop the Finnish security services which were operating in secrecy, to turn over Jewish refugees into the hands of Gestapo."
Einstein and the Bomb,"What happened after Einstein fled Nazi Germany? Using archival footage and his own words, this docudrama dives into the mind of a tortured genius."
Ek Chilte Jol,"Abid, a city boy, explores rural life with a folk singer, Kabiyal. He learns Baul philosophy and uncovers the Kabiyal's past as a communist leader. Abid's mother's story links to this, leading to a profound realization about his heritage."
Ekpebiwo m (I have Decided),"This is a feature film on the story behind the legendry 'I have decided to follow Jesus' hymn. About 150 years ago, there was a great revival in Wales. Angry, the village chief ... called the family who had first converted to renounce their faith in public or face execution. Instead of renouncing, he said ""I have decided to follow Jesus"" Enraged, the king ordered his family to be killed, He replies 'Though no one joins me, still I will follow"". He is finally killed. His various replies to the king formed the hymn."
El Genocidio Silencioso,N/A
Ennio Doris - C'è anche domani,N/A
Ensamble Patagonia,"Through moving and detailed testimonies, the documentary explores the significant Chilote heritage in the architecture of an emerging Patagonia at the end of the 19th century. The houses and buildings, built by skilled Chilote carpenters, are the center of this narrative that remembers and honors those builders whose history has been largely forgotten in official records. Using wood as a raw material and ingenuity as their main tool, numerous families from Chiloé settled in Magallanes, building the region that we know today, board by board. ""Ensamble Patagonia"" highlights not only the architecture, but also the stories of hope and effort of the Chilotes who sought a better life in this new land. A visual testimony that rescues and preserves a fundamental part of Magellan's history, inviting us to reflect on the identity and cultural memory of the region."
Ernest Cole: Lost and Found,Follows Ernest Cole's journey as the first Black freelance photographer in apartheid South Africa.
Escape from Germany,"1939, Hitler's army was closing borders, and eighty-five American missionaries were in Germany serving their church. The escape of these missionaries from Nazi Germany is one of the most dramatic events to occur in modern church history."
Ett hjärta är alltid rött,"'Ett hjärta är alltid rött' is the story of the Swedish rock band Imperiet's way, from the rubble of Ebba Grön to Svensktoppen and the big arenas. It is also the story of Sweden in an era when the country had a decisive place in the world political arena, and social involvement of artists was a matter of course. Imperiet was born from the iconic punk band Ebba Grön. They became the fixed stars of the post-punk generation and one of the biggest Swedish rock bands of the 1980s. Media-savvy, but often uncomfortable with celebrity, the band took the music in new directions."
Fast Track: Taking on the Speedway,"The Irwindale Speedway is a small snapshot into the world of NASCAR, a shared sport with many racers and viewers. Watch to see a small snippet into the world of this speedway, the racers behind the wheel, and the history behind racing."
Fedeltà Soldati. Prigionieri.,"The story of a particular group of Italian Prisoners of War, who were kept at Letterkenny Army Depot outside of Chambersburg PA. The documentary takes you on a journey which ends with a light of hope that still shines to this day."
Frederick Douglass - My Path to Freedom,"In 1845 Frederick Douglass, who seven years earlier had escaped slavery in Maryland, wrote his first autobiography ""My Narrative"" at his new home in Lynn, Massachusetts."
Freedom Shred: A Juneteenth Declaration,"FREEDOM SHRED: A Juneteenth Declaration - Juneteenth is an American celebration of liberation that commemorates the end of slavery in the United States. In his own creative and inimitable way, Spencer Conley uses the history of Juneteenth and the sport of snowboarding to emphasize that America's ""FREEDOM TO DO"" and ""FREEDOM TO BECOME"" is not limited to a specific cultural demographic. This film teaches, inspires, and challenges all to rethink the importance of Black history as an essential piece of American history."
From Darkness to Light,"Explores Jerry Lewis' unreleased 1972 film ""The Day The Clown Cried"", its mysterious disappearance, and the search for footage. Includes interviews with Lewis' associates and previously unseen production content."
"From Hilde, with Love","In Berlin 1942, Hilde is a member of an anti-Nazi group. She falls in love with another member, Hans. The two spend a summer together until they get caught by the Gestapo and Hilde is imprisoned, eight months pregnant."
Gadera,"In 1912, driven by greed, the British embark on a Himalayan expedition in colonial India. Yet, the Kumaoni and Garhwali people retaliate, highlighting the grave consequences of imperial ambition through guerrilla warfare."
Gangs of Godavari,A morally-corrupt man seeks to rise within the gritty world of politics and power - but his ambition could ultimately cost him his life.
Gateway District - Project Algerine,"In 1890, a feud between two railroad magnates erupts in Millcreek Township, igniting a series of events that will alter the course of history."
"Gaza, since October 7","A film by Aymeric Caron, broadcast at the French National Assembly on May 29, 2024. ""Is it a dream or a reality? >> demands a little girl stunned by her injuries. It is a nightmare, without a doubt, and nothing can justify it, neither the crimes of October 7 nor the detention of Israeli hostages by Hamas. Condemning all the crimes of October 7, before and after, condemning anti-Semitism and all forms of racism is common sense. However, it seems that this needs to be clarified. Everyone present normally wishes that the surviving hostages can one day be reunited with their families and that the massacre in Gaza stops immediately. But to follow through with the process is to see things face to face, to see what has been happening in Gaza since October 7, what the Israeli army is doing, what the television channels are not showing."
"Georges Pompidou, la cruauté du pouvoir","On April 2, 2024, France will commemorate the 50th anniversary of the death of Georges Pompidou, the second president of the Fifth Republic, whose term of office was cut short by his death in 1974. This documentary recalls the mark and republican destiny of this grandson of peasants and son of primary school teachers, who ushered France into a conquering and unprecedented modernity, bringing many industrial, scientific and cultural advances. Unlike all those who have held supreme office since 1958, Pompidou did not passionately seek power. From one stage to the next, responsibilities seem to have imposed themselves on him, as if he were obeying a destiny."
Ghost Camera,"Through the entanglement of home videos, archival footage, and Cinéma vérité, ""Ghost Camera"" captures 116 years of Toronto history to tell the tale of a documentarian's descent into artistic madness."
Giannis in the Cities,"1949. Giannis, the son of a rebel, is uprooted and displaced to the Child Care Cities for orphans and children of missing parents, a tradition of institution vastly evolved under the auspices of the queen Frederica of Hanover, where his ideas and desires are manipulated. Nightmares and dark feelings about his father haunt his heart. Now an adult, he redefines his existence. She decides to go meet him. The true story of the author Giannis Atzakas."
Giuseppe Taliercio: Il delitto perduto,N/A
Gladiators,"When a once great gladiator's betrothed is murdered, he vows to hunt down the killer. But when he discovers the murderer is no stranger, the gladiator must enter the Colosseum once more to avenge his bride."
Gloria!,"In 1800, at a girls' school in Venice, isolated and supposedly mute domestic servant Teresa discovers the joy that music can bring, teaming up with a group of talented girls."
Goebbels and the Führer,Nazi propaganda minister Joseph Goebbels is in charge of building public support for the Holocaust and for the war that Hitler is about to start.
Golden Kamuy,"In the early 20th century in Hokkaido, Japan, a treasure hunt between various parties takes place for a hidden stash of gold."
Grand Tour,"Edward, civil servant, flees fiancée Molly on their wedding day in Rangoon, 1917. His travels replace panic with melancholy. Molly, set on marriage, amused by his escape, trails him across Asia."
Greenwood Rising: The Rise of Black Wall Street,"The life of O.W. Gurley, a trailblazing Black entrepreneur, and his unwavering spirit that built Greenwood District into the thriving economic hub known as Black Wall Street, overcoming adversity in 1920s Tulsa, Oklahoma."
Guadalupe: Mother of Humanity,No mother has ever been as tender and powerful as the Virgin Mary who appeared to the Mexican Indian Juan Diego 500 years ago.
Hakkenden,"Bakin Takizawa, a popular Edo period author, begins to recount a story he is planning in front of his friend, the artist Hokusai Katsushika. The story is about eight warriors who, each carrying a jewel, gather together as if guided by fate and embark on a harsh journey to fight the curse of the Satomi family. Hokusai is drawn to Bakin's story and visits Bakin on various occasions to hear the rest of the story, and a strange relationship between the two begins. However, as the story finally approaches its climax, Bakin begins to lose his sight. With the completion of the story in question, he receives an unexpected proposal from his daughter-in-law. Will the story ever be completed?"
Hancsovszky,"Was Béla Hancsovszky an adventurer, terrorist or freedom fighter? On August 8, 1945, someone blows up the Tornalja Police Station, witnesses see three perpetrators, but only Hancsovsky is sentenced to death."
Harbin,Follows Korean independence activists who launched a daring attack in Harbin against the Japanese to gain their country's independence.
Harvest,"Over seven hallucinatory days, a village with no name, in an undefined time and place, disappears."
"Haïti, la rançon de l'indépendance","1804. Haiti is the first modern nation to gain its independence, thanks to a slave revolt. But France imposed a colossal debt on its former colony, condemning it to poverty and chronic under-development: political instability, food crises and violence ensued. This ransom continues to haunt the present-day situation."
Holdin' Weight: The Darryl Reed Story,"In the 1980's, Darryl ""Lil' D"" Reed became the youngest and most successful rock-cocaine dealer on the mean streets of Oakland, California. Darryl was raised in and taught the street hustle game at an early age, by the most noteworthy street legend in the history of the Bay Area, Felix Mitchell. Felix gave young Darryl the codes of the streets and warned him that if Darryl chose to live the life of a gangster, then he must also clearly understand and follow the codes as rules and live by them. Darryl and his crew would later become an off-shoot version of the 69th Village MOB, which stood for My Other Brother. At the age of 13, Darryl witnessed the older members of the MOB being brought down by the FBI. Later that night he learned that Felix was also arrested. Within months after the arrest of the older members of the MOB, a new drug called crack-cocaine came to the forefront of America's problems and Oakland and Darryl Reed were in the middle of it. Darryl was introduced to the cocaine sales game by his friend, Rick and the two boys invested in the drug. The rest is what they say legends are made of, money, power and women. What separated Darryl from others was that he got the money and power before the age of 20. Small in stature, young Darryl was large in the streets and a millionaire. Inside you will read about his journey."
Hope of Escape,A mother and daughter must plan their escape from enslavement after learning they are about to be sold and separated forever.
House of Ga'a,"A ruthless Prime Minister desperate for revenge ferociously rises to power, stopping at nothing to become more powerful than the kings he served."
Housewife of the Year,"Former contestants of the Housewife of the Year competition tell the story of a resilient generation of women, and how they changed a country. Winner of Best Irish Feature Documentary at the Galway Film Fleadh 2024."
I am Al Ittihad,An old man tells the story of the first Saudi soccer club to a young fan.
I'm Still Here,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.
Il domani era venuto. Ricordare e non dimenticare,"In 1943, Elio and Pio are friends. They met years earlier in Padola, in the Dolomites. Pio was born there. Elio spends the summer there, forgetting the capital for a while. During the holidays, they go into the woods, laugh, and have fun. They don't know that the adventures of '43 will be their last together. Elio returns to Padola only after the war ends and discovers that Pio was killed in a clash with partisans. Pio, whose code name was Brusco, will never see the future of freedom for which he left his home, his family, and his friends. Elio does not forget his mountain friend and tells the story, weaving his memories with the events of World War II and the Resistance. The story of a mushroom-picking backpack that turns into the suitcase of a boy armed with antifascist ideals flows alongside the memory of the call to arms. A race to secretly distribute leaflets to help political prisoners blends with a run through alpine meadows with the wind messing up their curls. The carefree days at first and then the strong antifascist ideals follow the course of History and become a shared heritage. A heritage to pass on so as not to forget. Based on book ""Tomorrow has came, a partisan story between Rome and the Dolomites"" by Erica Silvestri. The friendship of two young men: Bruno who lives in the capital and Pio who lives in the mountains of Padola, bound by a deep friendship and a destiny of struggle and love. Their story begins on September 8, a day that will change their lives and those of many Italians who decide to fight Nazism and Fascism. This is the story of friendship and resistance. Bruno and Pio are two partisans."
Illuminate - Monica Vitti - La donna che visse due volte,The Italian actress Carla Signoris falls asleep and find herself living the day when French newspaper LE Monde announced Monica Vitti's death...making a big mistake
In Her Place,"Chile, 1955. The case of María Carolina Geel, a popular writer who murders her lover, captivates Mercedes, a shy secretary working for the judge assigned to defend the accused."
